CensusTract,County,LILATracts_1And10
20001952700,Allen,0
20001952800,Allen,0
20001952900,Allen,1
20001953000,Allen,0
20003953600,Anderson,0
20003953700,Anderson,1
20005081600,Atchison,0
20005081700,Atchison,0
20005081800,Atchison,0
20005081900,Atchison,0
20007968100,Barber,0
20007968200,Barber,0
20009971100,Barton,0
20009971200,Barton,0
20009971300,Barton,0
20009971400,Barton,0
20009971500,Barton,0
20009971600,Barton,0
20009971700,Barton,0
20009971800,Barton,1
20011955600,Bourbon,1
20011955700,Bourbon,0
20011955800,Bourbon,0
20011955900,Bourbon,0
20011956000,Bourbon,0
20013480600,Brown,0
20013480700,Brown,1
20013480800,Brown,0
20015020100,Butler,0
20015020201,Butler,0
20015020202,Butler,0
20015020203,Butler,0
20015020300,Butler,0
20015020400,Butler,0
20015020500,Butler,1
20015020600,Butler,0
20015020700,Butler,0
20015020800,Butler,0
20015020901,Butler,0
20015020902,Butler,0
20015020903,Butler,0
20017960600,Chase,0
20019964600,Chautauqua,1
20021958100,Cherokee,0
20021958200,Cherokee,0
20021958300,Cherokee,1
20021958400,Cherokee,0
20021958500,Cherokee,1
20021958600,Cherokee,0
20023950200,Cheyenne,1
20025967100,Clark,0
20027458100,Clay,0
20027458200,Clay,0
20029977100,Cloud,1
20029977200,Cloud,1
20029977300,Cloud,0
20029977400,Cloud,1
20031966100,Coffey,0
20031966200,Coffey,0
20031966300,Coffey,0
20033967600,Comanche,0
20035493100,Cowley,0
20035493200,Cowley,0
20035493300,Cowley,0
20035493400,Cowley,1
20035493500,Cowley,1
20035493600,Cowley,0
20035493700,Cowley,0
20035493800,Cowley,1
20035493900,Cowley,0
20035494000,Cowley,0
20035494100,Cowley,1
20037956600,Crawford,1
20037956700,Crawford,1
20037956800,Crawford,0
20037956900,Crawford,0
20037957000,Crawford,0
20037957100,Crawford,0
20037957200,Crawford,0
20037957300,Crawford,0
20037957400,Crawford,0
20037957500,Crawford,1
20037957600,Crawford,1
20039951100,Decatur,1
20039951200,Decatur,0
20041084100,Dickinson,0
20041084200,Dickinson,1
20041084300,Dickinson,0
20041084400,Dickinson,0
20041084500,Dickinson,0
20041084600,Dickinson,0
20043020100,Doniphan,0
20043020200,Doniphan,0
20043020300,Doniphan,0
20045000100,Douglas,1
20045000200,Douglas,1
20045000300,Douglas,0
20045000400,Douglas,0
20045000501,Douglas,1
20045000502,Douglas,0
20045000603,Douglas,0
20045000604,Douglas,1
20045000702,Douglas,0
20045000797,Douglas,0
20045000801,Douglas,0
20045000802,Douglas,0
20045000901,Douglas,0
20045000902,Douglas,0
20045001001,Douglas,0
20045001002,Douglas,0
20045001201,Douglas,0
20045001202,Douglas,0
20045001203,Douglas,0
20045001400,Douglas,0
20045001500,Douglas,0
20045001600,Douglas,0
20047969600,Edwards,0
20047969700,Edwards,0
20049965100,Elk,1
20051072600,Ellis,0
20051072701,Ellis,0
20051072702,Ellis,0
20051072800,Ellis,0
20051072900,Ellis,0
20051073000,Ellis,0
20053086600,Ellsworth,1
20053086700,Ellsworth,0
20055960100,Finney,0
20055960200,Finney,0
20055960300,Finney,0
20055960401,Finney,0
20055960403,Finney,0
20055960404,Finney,0
20055960501,Finney,0
