County,CTY_SUB,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020
Allen County,Carlyle township,281,279,278,276,285,300
Allen County,Cottage Grove township,320,305,292,282,246,232
Allen County,Deer Creek township,153,142,128,142,129,117
Allen County,Elm township,1180,1326,1188,1259,1257,1181
Allen County,Elsmore township,593,535,490,460,414,363
Allen County,Geneva township,173,163,155,172,119,147
Allen County,Humboldt city,2249,2230,2178,1999,1953,1847
Allen County,Humboldt township,326,279,261,273,253,241
Allen County,Iola city,6493,6938,6351,6302,5704,5396
Allen County,Iola township,865,902,937,843,830,756
Allen County,La Harpe city,509,687,650,706,578,480
Allen County,Logan township,235,263,237,225,219,216
Allen County,Marmaton township,924,956,899,853,877,752
Allen County,Osage township,416,347,315,316,258,254
Allen County,Salem township,326,302,279,277,249,244
Anderson County,Garnett city,3169,3310,3210,3368,3415,3242
Anderson County,Indian Creek township,207,175,149,132,127,114
Anderson County,Jackson township,395,433,375,453,459,488
Anderson County,Lincoln township,183,239,167,208,190,178
Anderson County,Lone Elm township,313,269,211,239,230,205
Anderson County,Monroe township,536,495,374,349,349,367
Anderson County,North Rich township,135,103,98,112,107,
Anderson County,Ozark township,543,661,595,565,578,550
Anderson County,Putnam township,269,284,282,284,305,268
Anderson County,Reeder township,506,523,406,427,452,431
Anderson County,Rich township,379,369,343,346,288,338
Anderson County,Union township,180,189,175,,,
Anderson County,Walker township,606,591,496,668,668,694
Anderson County,Washington township,228,298,267,268,272,311
Anderson County,Welda township,334,330,286,301,290,295
Anderson County,Westphalia township,518,480,369,390,372,355
Atchison County,Atchison city,12565,11407,10656,10232,11021,10885
Atchison County,Benton township,1213,1173,1047,1076,1014,963
Atchison County,Center township,650,692,645,676,625,651
Atchison County,Grasshopper township,700,744,631,588,567,501
Atchison County,Kapioma township,308,339,256,271,292,250
Atchison County,Lancaster township,937,878,890,922,818,762
Atchison County,Mount Pleasant township,696,778,685,829,864,834
Atchison County,Shannon township,1564,1867,1483,1753,1282,1106
Atchison County,Walnut township,532,519,639,427,441,396
Barber County,Aetna township,43,37,24,3,7,5
Barber County,Cedar Township,55,,,,,
Barber County,Deerhead township,40,30,15,11,14,11
Barber County,Eagle township,102,97,46,42,25,29
Barber County,Elm Mills township,106,100,124,106,135,119
Barber County,Elwood township,458,446,284,275,241,219
Barber County,Hazelton township,247,251,201,213,153,105
Barber County,Kiowa township,1538,1532,1255,1164,1136,975
Barber County,Lake City township,106,94,97,83,62,66
Barber County,McAdoo township,38,32,29,29,27,16
Barber County,Medicine Lodge township,2993,2810,2838,2573,2334,2052
Barber County,Mingona township,106,89,51,57,78,72
Barber County,Moore township,63,45,40,32,17,35
Barber County,Nippawalla township,74,51,44,26,35,31
Barber County,Ridge township,61,41,26,4,,
Barber County,Sharon township,535,486,440,369,356,299
Barber County,Sun City township,174,131,127,100,68,42
Barber County,Turkey Creek township,44,45,35,37,26,21
Barber County,Valley township,233,231,198,183,147,131
Barton County,Albion township,112,90,61,58,63,60
Barton County,Beaver township,249,185,122,108,99,98
Barton County,Buffalo township,420,529,587,490,417,431
Barton County,Cheyenne township,430,316,281,238,207,200
Barton County,Clarence township,159,163,145,125,117,133
Barton County,Cleveland township,141,91,79,69,42,25
Barton County,Comanche township,401,362,500,452,462,408
Barton County,Ellinwood city,2416,2508,2329,2164,2131,2011
Barton County,Eureka township,151,147,149,116,82,70
