County,"Crime Index Rate/1,000 (County Total)"
Allen County,15.4
Anderson County,9.1
Atchison County,12.1
Barber County,10.9
Barton County,13.5
Bourbon County,16.6
Brown County,10.7
Butler County,12.4
Chase County,11.9
Chautauqua County,5.0
Cherokee County,15.7
Cheyenne County,7.9
Clark County,9.3
Clay County,9.6
Cloud County,10.2
Coffey County,8.3
Comanche County,11.1
Cowley County,21.2
Crawford County,27.2
Decatur County,9.5
Dickinson County,8.1
Doniphan County,21.0
Douglas County,22.2
Edwards County,8.1
Elk County,
Ellis County,14.3
Ellsworth County,9.1
Finney County,23.6
Ford County,12.1
Franklin County,11.1
Geary County,20.4
Gove County,5.5
Graham County,1.3
Grant County,1.7
Gray County,5.3
Greeley County,4.3
Greenwood County,12.6
Hamilton County,9.4
Harper County,6.4
Harvey County,15.6
Haskell County,4.4
Hodgeman County,3.0
Jackson County,10.9
Jefferson County,11.1
Jewell County,0.7
Johnson County,17.5
Kearny County,10.2
Kingman County,8.8
Kiowa County,9.7
Labette County,25.3
Lane County,5.9
Leavenworth County,16.6
Lincoln County,2.4
Linn County,9.1
Logan County,1.8
Lyon County,21.1
Mc Pherson County,9.1
Marion County,9.9
Marshall County,7.0
Meade County,3.8
Miami County,9.5
Mitchell County,4.2
Montgomery County,23.8
Morris County,3.0
Morton County,7.8
Nemaha County,3.1
Neosho County,18.2
Ness County,5.7
Norton County,1.7
Osage County,10.3
Osborne County,1.2
Ottawa County,7.2
Pawnee County,9.6
Phillips County,2.1
Pottawatomie County,7.2
Pratt  County,11.4
Rawlins County,12.2
Reno County,20.6
Republic County,9.2
Rice County,7.7
Riley County,16.9
Rooks County,8.8
Rush County,9.2
Russell County,8.7
Saline County,27.1
Scott County,5.9
Sedgwick County,43.9
Seward County,16.0
Shawnee County,34.7
Sheridan County,3.2
Sherman County,17.5
Smith County,0.0
Stafford County,5.7
Stanton County,1.1
Stevens County,4.8
Sumner County,12.4
Thomas County,11.0
Trego County,0.0
Wabaunsee County,9.9
Wallace County,2.6
Washington County,3.6
Wichita County,5.3
Wilson County,15.8
Woodson County,10.2
Wyandotte County,46.8
