,,,,County,,,CTY_SUB,CTY_SUBA,NAME1970,NAME1980,NAME1990,NAME2000,NAME2010,NAME2020,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020,D15AA1970,D15AA1980,D15AA1990,D15AA2000,D15AA2010,D15AA2020,D15AB1970,D15AB1980,D15AB1990,D15AB2000,D15AB2010,D15AB2020
,Kansas,20,200,Allen County,1,10,Carlyle township,10725,Carlyle Township,CARLYLE TOWNSHIP,Carlyle township,Carlyle township,Carlyle township,Carlyle township,281,279,278,276,285,300,0,0,0,0,0,0,281,279,278,276,285,300
,Kansas,20,200,Allen County,1,10,Cottage Grove township,15825,Cottage Grove Township,COTTAGE GROVE TOWNSHIP,Cottage Grove township,Cottage Grove township,Cottage Grove township,Cottage Grove township,320,305,292,282,246,232,0,0,0,0,0,0,320,305,292,282,246,232
,Kansas,20,200,Allen County,1,10,Deer Creek township,17175,Deer Creek Township,DEER CREEK TOWNSHIP,Deer Creek township,Deer Creek township,Deer Creek township,Deer Creek township,153,142,128,142,129,117,0,0,0,0,0,0,153,142,128,142,129,117
,Kansas,20,200,Allen County,1,10,Elm township,20550,Elm Township,ELM TOWNSHIP,Elm township,Elm township,Elm township,Elm township,1180,1326,1188,1259,1257,1181,0,0,0,0,0,402,1180,1326,1188,1259,1257,779
,Kansas,20,200,Allen County,1,10,Elsmore township,20900,Elsmore Township,ELSMORE TOWNSHIP,Elsmore township,Elsmore township,Elsmore township,Elsmore township,593,535,490,460,414,363,0,0,0,0,0,0,593,535,490,460,414,363
,Kansas,20,200,Allen County,1,10,Geneva township,26100,Geneva Township,GENEVA TOWNSHIP,Geneva township,Geneva township,Geneva township,Geneva township,173,163,155,172,119,147,0,0,0,0,0,0,173,163,155,172,119,147
,Kansas,20,200,Allen County,1,10,Humboldt city,33450,Humboldt City,HUMBOLDT CITY,Humboldt city,Humboldt city,Humboldt city,Humboldt city,2249,2230,2178,1999,1953,1847,0,0,0,0,0,0,2249,2230,2178,1999,1953,1847
,Kansas,20,200,Allen County,1,10,Humboldt township,33475,Humboldt Township,HUMBOLDT TOWNSHIP,Humboldt township,Humboldt township,Humboldt township,Humboldt township,326,279,261,273,253,241,0,0,0,0,0,0,326,279,261,273,253,241
,Kansas,20,200,Allen County,1,10,Iola city,34300,Iola City,IOLA CITY,Iola city,Iola city,Iola city,Iola city,6493,6938,6351,6302,5704,5396,6493,6938,6351,6177,5561,5276,0,0,0,125,143,120
,Kansas,20,200,Allen County,1,10,Iola township,34325,Iola Township,IOLA TOWNSHIP,Iola township,Iola township,Iola township,Iola township,865,902,937,843,830,756,0,0,0,196,168,167,865,902,937,647,662,589
,Kansas,20,200,Allen County,1,10,La Harpe city,37725,La Harpe City,LA HARPE CITY,La Harpe city,La Harpe city,La Harpe city,La Harpe city,509,687,650,706,578,480,0,0,0,0,0,0,509,687,650,706,578,480
,Kansas,20,200,Allen County,1,10,Logan township,41725,Logan Township,LOGAN TOWNSHIP,Logan township,Logan township,Logan township,Logan township,235,263,237,225,219,216,0,0,0,0,0,0,235,263,237,225,219,216
,Kansas,20,200,Allen County,1,10,Marmaton township,44850,Marmaton Township,MARMATON TOWNSHIP,Marmaton township,Marmaton township,Marmaton township,Marmaton township,924,956,899,853,877,752,0,0,0,0,0,0,924,956,899,853,877,752
,Kansas,20,200,Allen County,1,10,Osage township,53075,Osage Township,OSAGE TOWNSHIP,Osage township,Osage township,Osage township,Osage township,416,347,315,316,258,254,0,0,0,0,0,0,416,347,315,316,258,254
,Kansas,20,200,Allen County,1,10,Salem township,62600,Salem Township,SALEM TOWNSHIP,Salem township,Salem township,Salem township,Salem township,326,302,279,277,249,244,0,0,0,0,0,0,326,302,279,277,249,244
,Kansas,20,200,Anderson County,3,30,Garnett city,25925,Garnett City,GARNETT CITY,Garnett city,Garnett city,Garnett city,Garnett city,3169,3310,3210,3368,3415,3242,3169,3310,3210,3309,3315,0,0,0,0,59,100,3242
,Kansas,20,200,Anderson County,3,30,Indian Creek township,34050,Indian Creek Township,INDIAN CREEK TOWNSHIP,Indian Creek township,Indian Creek township,Indian Creek township,Indian Creek township,207,175,149,132,127,114,0,0,0,0,0,0,207,175,149,132,127,114
,Kansas,20,200,Anderson County,3,30,Jackson township,34725,Jackson Township,JACKSON TOWNSHIP,Jackson township,Jackson township,Jackson township,Jackson township,395,433,375,453,459,488,0,0,0,14,1,0,395,433,375,439,458,488
,Kansas,20,200,Anderson County,3,30,Lincoln township,40475,Lincoln Township,LINCOLN TOWNSHIP,Lincoln township,Lincoln township,Lincoln township,Lincoln township,183,239,167,208,190,178,0,0,0,0,0,0,183,239,167,208,190,178
,Kansas,20,200,Anderson County,3,30,Lone Elm township,42450,Lone Elm Township,LONE ELM TOWNSHIP,Lone Elm township,Lone Elm township,Lone Elm township,Lone Elm township,313,269,211,239,230,205,0,0,0,0,0,0,313,269,211,239,230,205
,Kansas,20,200,Anderson County,3,30,Monroe township,47725,Monroe Township,MONROE TOWNSHIP,Monroe township,Monroe township,Monroe township,Monroe township,536,495,374,349,349,367,0,0,0,57,20,0,536,495,374,292,329,367
,Kansas,20,200,Anderson County,3,30,North Rich township,51325,North Rich Township,NORTH RICH TOWNSHIP,North Rich township,North Rich township,North Rich township,,135,103,98,112,107,,0,0,0,0,0,,135,103,98,112,107,
,Kansas,20,200,Anderson County,3,30,Ozark township,53900,Ozark Township,OZARK TOWNSHIP,Ozark township,Ozark township,Ozark township,Ozark township,543,661,595,565,578,550,0,0,0,0,0,0,543,661,595,565,578,550
,Kansas,20,200,Anderson County,3,30,Putnam township,58000,Putnam Township,PUTNAM TOWNSHIP,Putnam township,Putnam township,Putnam township,Putnam township,269,284,282,284,305,268,0,0,0,0,0,0,269,284,282,284,305,268
,Kansas,20,200,Anderson County,3,30,Reeder township,58825,Reeder Township,REEDER TOWNSHIP,Reeder township,Reeder township,Reeder township,Reeder township,506,523,406,427,452,431,0,0,0,0,0,0,506,523,406,427,452,431
,Kansas,20,200,Anderson County,3,30,Rich township,59175,Rich Township,RICH TOWNSHIP,Rich township,Rich township,Rich township,Rich township,379,369,343,346,288,338,0,0,0,0,0,0,379,369,343,346,288,338
,Kansas,20,200,Anderson County,3,30,Union township,72000,Union Township,UNION TOWNSHIP,Union township,,,,180,189,175,,,,0,0,0,,,,180,189,175,,,
,Kansas,20,200,Anderson County,3,30,Walker township,74650,Walker Township,WALKER TOWNSHIP,Walker township,Walker township,Walker township,Walker township,606,591,496,668,668,694,0,0,0,0,0,0,606,591,496,668,668,694
,Kansas,20,200,Anderson County,3,30,Washington township,75500,Washington Township,WASHINGTON TOWNSHIP,Washington township,Washington township,Washington township,Washington township,228,298,267,268,272,311,0,0,0,0,0,0,228,298,267,268,272,311
,Kansas,20,200,Anderson County,3,30,Welda township,76450,Welda Township,WELDA TOWNSHIP,Welda township,Welda township,Welda township,Welda township,334,330,286,301,290,295,0,0,0,0,0,0,334,330,286,301,290,295
,Kansas,20,200,Anderson County,3,30,Westphalia township,77275,Westphalia Township,WESTPHALIA TOWNSHIP,Westphalia township,Westphalia township,Westphalia township,Westphalia township,518,480,369,390,372,355,0,0,0,0,0,0,518,480,369,390,372,355
,Kansas,20,200,Atchison County,5,50,Atchison city,2900,Atchison City,ATCHISON CITY,Atchison city,Atchison city,Atchison city,Atchison city,12565,11407,10656,10232,11021,10885,12565,11407,10656,9926,10825,10653,0,0,0,306,196,232
,Kansas,20,200,Atchison County,5,50,Benton township,6150,Benton Township,BENTON TOWNSHIP,Benton township,Benton township,Benton township,Benton township,1213,1173,1047,1076,1014,963,0,0,0,0,0,0,1213,1173,1047,1076,1014,963
,Kansas,20,200,Atchison County,5,50,Center township,11550,Center Township,CENTER TOWNSHIP,Center township,Center township,Center township,Center township,650,692,645,676,625,651,0,0,0,0,0,0,650,692,645,676,625,651
,Kansas,20,200,Atchison County,5,50,Grasshopper township,28225,Grasshopper Township,GRASSHOPPER TOWNSHIP,Grasshopper township,Grasshopper township,Grasshopper township,Grasshopper township,700,744,631,588,567,501,0,0,0,0,0,0,700,744,631,588,567,501
,Kansas,20,200,Atchison County,5,50,Kapioma township,36100,Kapioma Township,KAPIOMA TOWNSHIP,Kapioma township,Kapioma township,Kapioma township,Kapioma township,308,339,256,271,292,250,0,0,0,0,0,0,308,339,256,271,292,250
,Kansas,20,200,Atchison County,5,50,Lancaster township,38350,Lancaster Township,LANCASTER TOWNSHIP,Lancaster township,Lancaster township,Lancaster township,Lancaster township,937,878,890,922,818,762,0,0,0,0,0,0,937,878,890,922,818,762
,Kansas,20,200,Atchison County,5,50,Mount Pleasant township,48925,Mount Pleasant Township,MOUNT PLEASANT TOWNSHIP,Mount Pleasant township,Mount Pleasant township,Mount Pleasant township,Mount Pleasant township,696,778,685,829,864,834,0,0,0,0,0,0,696,778,685,829,864,834
,Kansas,20,200,Atchison County,5,50,Shannon township,64275,Shannon Township,SHANNON TOWNSHIP,Shannon township,Shannon township,Shannon township,Shannon township,1564,1867,1483,1753,1282,1106,0,0,0,521,319,254,1564,1867,1483,1232,963,852
,Kansas,20,200,Atchison County,5,50,Walnut township,74800,Walnut Township,WALNUT TOWNSHIP,Walnut township,Walnut township,Walnut township,Walnut township,532,519,639,427,441,396,0,0,0,2,0,0,532,519,639,425,441,396
,Kansas,20,200,Barber County,7,70,Aetna township,400,Aetna Township,AETNA TOWNSHIP,Aetna township,Aetna township,Aetna township,Aetna township,43,37,24,3,7,5,0,0,0,0,0,0,43,37,24,3,7,5
,Kansas,20,200,Barber County,7,70,Cedar Township,10,Cedar Township,,,,,,55,,,,,,0,,,,,,55,,,,,
,Kansas,20,200,Barber County,7,70,Deerhead township,17300,Deerhead Township,DEERHEAD TOWNSHIP,Deerhead township,Deerhead township,Deerhead township,Deerhead township,40,30,15,11,14,11,0,0,0,0,0,0,40,30,15,11,14,11
,Kansas,20,200,Barber County,7,70,Eagle township,19150,Eagle Township,EAGLE TOWNSHIP,Eagle township,Eagle township,Eagle township,Eagle township,102,97,46,42,25,29,0,0,0,0,0,0,102,97,46,42,25,29
,Kansas,20,200,Barber County,7,70,Elm Mills township,20800,Elm Mills Township,ELM MILLS TOWNSHIP,Elm Mills township,Elm Mills township,Elm Mills township,Elm Mills township,106,100,124,106,135,119,0,0,0,0,0,0,106,100,124,106,135,119
,Kansas,20,200,Barber County,7,70,Elwood township,20925,Elwood Township,ELWOOD TOWNSHIP,Elwood township,Elwood township,Elwood township,Elwood township,458,446,284,275,241,219,0,0,0,0,0,0,458,446,284,275,241,219
,Kansas,20,200,Barber County,7,70,Hazelton township,31175,Hazelton Township,HAZELTON TOWNSHIP,Hazelton township,Hazelton township,Hazelton township,Hazelton township,247,251,201,213,153,105,0,0,0,0,0,0,247,251,201,213,153,105
,Kansas,20,200,Barber County,7,70,Kiowa township,37150,Kiowa Township,KIOWA TOWNSHIP,Kiowa township,Kiowa township,Kiowa township,Kiowa township,1538,1532,1255,1164,1136,975,0,0,0,0,0,0,1538,1532,1255,1164,1136,975
,Kansas,20,200,Barber County,7,70,Lake City township,37900,Lake City Township,LAKE CITY TOWNSHIP,Lake City township,Lake City township,Lake City township,Lake City township,106,94,97,83,62,66,0,0,0,0,0,0,106,94,97,83,62,66
,Kansas,20,200,Barber County,7,70,McAdoo township,43550,Mc Adoo Township,MCADOO TOWNSHIP,McAdoo township,McAdoo township,McAdoo township,McAdoo township,38,32,29,29,27,16,0,0,0,0,0,0,38,32,29,29,27,16
